date,utc_time,direction,driver,strength
2025-05-05,03:32,UP,US_dollar_weakness+tariff_war,normal
2025-05-06,14:42,UP,US_tariff+FOMC_week,normal
2025-05-08,03:09,DN,Fed_policy+US_China_trade,normal
2025-06-02,02:21,UP,US_dollar+geopolitics+trade,normal
2025-09-24,11:37,DN,Powell_speech+Fed_rate,normal
2025-10-08,01:04,UP,gold_break_4000+Fed_cut+geopolitical,normal
2025-10-30,03:00,UP,Fed_cut+US_China_trade,normal
2025-10-30,07:46,UP,Fed_cut+US_China_trade,normal
2025-12-12,04:16,UP,Fed_cut_expectation+USD_weak+geopolitical,normal
2025-12-22,18:42,UP,Fed_cut_expectation+safe_haven+USD_weak,normal
2026-01-20,03:07,UP,Trump_tariff_Greenland+safe_haven,normal
2026-01-20,23:56,UP,Trump_tariff_Greenland_continuation,normal
2026-01-22,15:07,UP,US_trade_Greenland_tariff,normal
2026-02-18,01:39,UP,Iran_US+Russia_Ukraine+FOMC_minutes,normal
2026-02-23,14:00,UP,US_tariff+Iran_tensions,normal
2026-03-20,07:10,UP,Iran_war+energy+inflation+Fed,normal
2026-04-06,03:40,UP,US_Iran_war+Hormuz+ceasefire_deadline,normal
2026-04-23,10:19,UP,US_Iran+Hormuz+oil+US_yields,normal
2026-05-12,16:23,UP,US_Iran_ceasefire_deterioration+oil+CPI,normal
2026-05-26,18:02,UP,US_Iran_escalation+oil+Fed_hike,normal
2026-06-24,16:35,DN,USD_strong+Fed_hike+Iran_inflation,normal
2026-07-01,10:11,UP,US_Iran_peace_deterioration+US_yields,normal
2026-07-08,15:30,UP,Trump_Iran_deal_break+oil_surge,strong
2026-07-15,16:56,UP,US_inflation+Hormuz,normal
2026-07-29,14:43,UP,USD+Fed_policy+Middle_East,normal
2026-08-05,01:10,UP,Iran_talks_improve+US_yields_down+USD_weak,strong
2026-08-05,10:02,UP,Iran_talks_improve_continuation,strong
2026-09-11,03:45,UP,Middle_East_energy+Hormuz+oil+Fed,normal
2026-09-16,01:56,UP,Fed_rate_decision_day,strong
